Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4,NP,1,1,100.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,6,8,133.33%
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4,SBAR,1,2,200.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,18,14,77.78%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,7,9,128.57%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,1,100.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5,VP,6,8,133.33%
"Granularity=chunk, Sentence Index=6",2,chunk,6,,6,6,100.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6,PP,1,1,100.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6,VP,5,5,100.00%
"Granularity=chunk, Sentence Index=7",2,chunk,7,,2,2,100.00%
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7,VP,2,2,100.00%
"Granularity=chunk, Sentence Index=8",2,chunk,8,,1,1,100.00%
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8,VP,1,1,100.00%
"Granularity=chunk, Sentence Index=9",2,chunk,9,,1,1,100.00%
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9,VP,1,1,100.00%
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,4,57.14%
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,4,100.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,184,54.76%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,366,56.92%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,38,90.48%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,401,69.02%
"Granularity=clause, Sentence Index=0",2,clause,0,,55,37,67.27%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,55,37,67.27%
"Granularity=clause, Sentence Index=1",2,clause,1,,9,9,100.00%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,9,9,100.00%
"Granularity=clause, Sentence Index=2",2,clause,2,,7,5,71.43%
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2,SBAR,7,5,71.43%
"Granularity=clause, Sentence Index=3",2,clause,3,,1,1,100.00%
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3,SBAR,1,1,100.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,52,72.22%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,1847,1016,55.01%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,19,6,31.58%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,28,2,7.14%
"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,minimal,0,CONJP,1,1,100.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,minimal,0,INTJ,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,1511,822,54.40%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,10,11,110.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,15,5,33.33%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,5,2,40.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,98,43,43.88%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,63,30,47.62%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,19,22,115.79%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,76,72,94.74%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,333,260,78.08%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,11,7,63.64%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1,ADVP,8,4,50.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,258,217,84.11%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1,PP,2,1,50.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1,PRT,6,2,33.33%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,25,8,32.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1,VP,13,9,69.23%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1,WHADVP,2,4,200.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1,WHNP,8,8,100.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,254,227,89.37%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2,ADJP,7,7,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,7,4,57.14%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,189,175,92.59%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2,PP,2,1,50.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2,QP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,27,26,96.30%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,10,8,80.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,5,5,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,5,1,20.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,126,114,90.48%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3,ADJP,3,4,133.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,minimal,3,ADVP,5,5,100.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,95,81,85.26%
"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,minimal,3,PRT,1,1,100.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,15,14,93.33%
"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,minimal,3,VP,5,7,140.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,minimal,3,WHADVP,1,1,100.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,minimal,3,WHNP,1,1,100.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,38,38,100.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,minimal,4,ADJP,1,1,100.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,minimal,4,ADVP,2,1,50.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,30,32,106.67%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,3,2,66.67%
"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,minimal,4,VP,1,1,100.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,minimal,4,WHNP,1,1,100.00%
"Granularity=minimal, Sentence Index=5",2,minimal,5,,15,15,100.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,minimal,5,ADJP,2,2,100.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,minimal,5,NP,10,10,100.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,minimal,5,SBAR,2,2,100.00%
"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,minimal,5,VP,1,1,100.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,12,12,100.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,minimal,6,NP,9,9,100.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,2,2,100.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,minimal,6,VP,1,1,100.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,6,6,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,4,4,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,1,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,minimal,7,VP,1,1,100.00%
"Granularity=minimal, Sentence Index=8",2,minimal,8,,2,2,100.00%
"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,minimal,8,NP,2,2,100.00%
"Granularity=minimal, Sentence Index=9",2,minimal,9,,2,2,100.00%
"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,minimal,9,NP,2,2,100.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,43,27,62.79%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,50,16,32.00%
"Granularity=minimal, Syntagm Type=CONJP",2,minimal,,CONJP,1,1,100.00%
"Granularity=minimal, Syntagm Type=INTJ",2,minimal,,INTJ,2,0,0.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,2110,1354,64.17%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,14,13,92.86%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,23,8,34.78%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,6,2,33.33%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,173,98,56.65%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,95,58,61.05%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,27,32,118.52%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,91,83,91.21%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,23,6,26.09%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,31,5,16.13%
"Sentence Index=0, Syntagm Type=CONJP",2,,0,CONJP,1,1,100.00%
"Sentence Index=0, Syntagm Type=INTJ",2,,0,INTJ,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,1774,946,53.33%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,516,255,49.42%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,15,5,33.33%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,5,2,40.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,182,103,56.59%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,386,199,51.55%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,19,22,115.79%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,76,72,94.74%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,11,7,63.64%
"Sentence Index=1, Syntagm Type=ADVP",2,,1,ADVP,8,4,50.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,283,237,83.75%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,66,55,83.33%
"Sentence Index=1, Syntagm Type=PRT",2,,1,PRT,6,2,33.33%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,41,26,63.41%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,118,88,74.58%
"Sentence Index=1, Syntagm Type=WHADVP",2,,1,WHADVP,2,4,200.00%
"Sentence Index=1, Syntagm Type=WHNP",2,,1,WHNP,8,8,100.00%
"Sentence Index=2, Syntagm Type=ADJP",2,,2,ADJP,8,8,100.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,7,4,57.14%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,217,200,92.17%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,45,44,97.78%
"Sentence Index=2, Syntagm Type=PRT",2,,2,PRT,1,0,0.00%
"Sentence Index=2, Syntagm Type=QP",2,,2,QP,1,0,0.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,38,34,89.47%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,93,88,94.62%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,5,5,100.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,5,1,20.00%
"Sentence Index=3, Syntagm Type=ADJP",2,,3,ADJP,4,6,150.00%
"Sentence Index=3, Syntagm Type=ADVP",2,,3,ADVP,5,5,100.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,114,95,83.33%
"Sentence Index=3, Syntagm Type=PP",2,,3,PP,22,15,68.18%
"Sentence Index=3, Syntagm Type=PRT",2,,3,PRT,1,1,100.00%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,17,16,94.12%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,42,49,116.67%
"Sentence Index=3, Syntagm Type=WHADVP",2,,3,WHADVP,1,1,100.00%
"Sentence Index=3, Syntagm Type=WHNP",2,,3,WHNP,1,1,100.00%
"Sentence Index=4, Syntagm Type=ADJP",2,,4,ADJP,2,2,100.00%
"Sentence Index=4, Syntagm Type=ADVP",2,,4,ADVP,3,2,66.67%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,31,33,106.45%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,6,8,133.33%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,4,4,100.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,19,15,78.95%
"Sentence Index=4, Syntagm Type=WHNP",2,,4,WHNP,1,1,100.00%
"Sentence Index=5, Syntagm Type=ADJP",2,,5,ADJP,2,2,100.00%
"Sentence Index=5, Syntagm Type=NP",2,,5,NP,10,10,100.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,1,100.00%
"Sentence Index=5, Syntagm Type=SBAR",2,,5,SBAR,2,2,100.00%
"Sentence Index=5, Syntagm Type=VP",2,,5,VP,7,9,128.57%
"Sentence Index=6, Syntagm Type=NP",2,,6,NP,9,9,100.00%
"Sentence Index=6, Syntagm Type=PP",2,,6,PP,1,1,100.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,2,2,100.00%
"Sentence Index=6, Syntagm Type=VP",2,,6,VP,6,6,100.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,4,4,100.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,1,100.00%
"Sentence Index=7, Syntagm Type=VP",2,,7,VP,3,3,100.00%
"Sentence Index=8, Syntagm Type=NP",2,,8,NP,2,2,100.00%
"Sentence Index=8, Syntagm Type=VP",2,,8,VP,1,1,100.00%
"Sentence Index=9, Syntagm Type=NP",2,,9,NP,2,2,100.00%
"Sentence Index=9, Syntagm Type=VP",2,,9,VP,1,1,100.00%
