Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,24,54.55%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,1,1,100.00%,False
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,1,1,100.00%,False
"Granularity=clause, Sentence Index=1",2,clause,1.0,,2,1,50.00%,False
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,2,1,50.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,2,66.67%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,142,52,36.62%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,112,40,35.71%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,8,3,37.50%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,6,3,50.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,2,2,100.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,5,2,40.00%,True
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,23,15,63.77%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,1,1,66.67%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,19,12,61.40%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,3,2,77.78%,True
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,29,21,72.41%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,18,14,79.63%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,3,3,88.89%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,4,3,75.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,6,3,50.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3.0,NP,5,2,40.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3.0,SBAR,1,1,100.00%,False
"Granularity=minimal, Sentence Index=4",2,minimal,4.0,,5,3,66.67%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4.0,NP,3,2,77.78%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4.0,SBAR,2,1,50.00%,False
"Granularity=minimal, Sentence Index=6",2,minimal,6.0,,1,1,100.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6.0,SBAR,1,1,100.00%,False
"Granularity=minimal, Sentence Index=7",2,minimal,7.0,,2,2,100.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7.0,NP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7.0,SBAR,1,1,100.00%,False
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,2,55.56%,True
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,1,25.00%,True
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,71,45.15%,True
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,1,50.00%,False
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%,False
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%,False
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,12,63.16%,True
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,6,60.00%,True
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,2,66.67%,True
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,2,33.33%,True
"Sentence Index=0, Syntagm Type=ADJP",2,,0.0,ADJP,2,1,50.00%,False
"Sentence Index=0, Syntagm Type=ADVP",2,,0.0,ADVP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=NP",2,,0.0,NP,140,48,34.29%,True
"Sentence Index=0, Syntagm Type=PP",2,,0.0,PP,56,12,22.02%,True
"Sentence Index=0, Syntagm Type=PRT",2,,0.0,PRT,1,0,0.00%,False
"Sentence Index=0, Syntagm Type=QP",2,,0.0,QP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=SBAR",2,,0.0,SBAR,10,4,40.00%,True
"Sentence Index=0, Syntagm Type=VP",2,,0.0,VP,29,12,40.23%,True
"Sentence Index=0, Syntagm Type=WHADVP",2,,0.0,WHADVP,2,2,100.00%,False
"Sentence Index=0, Syntagm Type=WHNP",2,,0.0,WHNP,5,2,40.00%,True
"Sentence Index=1, Syntagm Type=ADJP",2,,1.0,ADJP,1,1,66.67%,False
"Sentence Index=1, Syntagm Type=NP",2,,1.0,NP,19,12,61.40%,True
"Sentence Index=1, Syntagm Type=PP",2,,1.0,PP,5,2,40.00%,True
"Sentence Index=1, Syntagm Type=SBAR",2,,1.0,SBAR,7,4,61.90%,True
"Sentence Index=1, Syntagm Type=VP",2,,1.0,VP,9,6,66.67%,True
"Sentence Index=2, Syntagm Type=ADVP",2,,2.0,ADVP,2,1,50.00%,False
"Sentence Index=2, Syntagm Type=NP",2,,2.0,NP,19,15,80.70%,True
"Sentence Index=2, Syntagm Type=PP",2,,2.0,PP,1,1,100.00%,False
"Sentence Index=2, Syntagm Type=SBAR",2,,2.0,SBAR,4,3,66.67%,True
"Sentence Index=2, Syntagm Type=VP",2,,2.0,VP,13,11,82.05%,True
"Sentence Index=2, Syntagm Type=WHADVP",2,,2.0,WHADVP,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=WHNP",2,,2.0,WHNP,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=NP",2,,3.0,NP,8,5,62.50%,True
"Sentence Index=3, Syntagm Type=SBAR",2,,3.0,SBAR,1,1,100.00%,False
"Sentence Index=3, Syntagm Type=VP",2,,3.0,VP,2,1,50.00%,False
"Sentence Index=4, Syntagm Type=NP",2,,4.0,NP,3,2,77.78%,True
"Sentence Index=4, Syntagm Type=PP",2,,4.0,PP,1,1,100.00%,False
"Sentence Index=4, Syntagm Type=SBAR",2,,4.0,SBAR,2,1,50.00%,False
"Sentence Index=4, Syntagm Type=VP",2,,4.0,VP,1,1,66.67%,False
"Sentence Index=5, Syntagm Type=PP",2,,5.0,PP,1,1,100.00%,False
"Sentence Index=6, Syntagm Type=SBAR",2,,6.0,SBAR,1,1,100.00%,False
"Sentence Index=7, Syntagm Type=NP",2,,7.0,NP,1,1,100.00%,False
"Sentence Index=7, Syntagm Type=SBAR",2,,7.0,SBAR,1,1,100.00%,False
