Row,Combination,Features,Column,C,Java,Delta,Delta %,Direction
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
31,"Granularity=chunk, Sentence Index=5",2,Result,0,0,0,0.00%,=
31,"Granularity=chunk, Sentence Index=5",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
34,"Granularity=chunk, Sentence Index=6",2,Result,0,0,0,0.00%,=
34,"Granularity=chunk, Sentence Index=6",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
37,"Granularity=chunk, Sentence Index=7",2,Result,0,0,0,0.00%,=
37,"Granularity=chunk, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
39,"Granularity=chunk, Sentence Index=8",2,Result,0,0,0,0.00%,=
39,"Granularity=chunk, Sentence Index=8",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
41,"Granularity=chunk, Sentence Index=9",2,Result,0,0,0,0.00%,=
41,"Granularity=chunk, Sentence Index=9",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
43,"Granularity=chunk, Syntagm Type=ADJP",2,Result,1,0,-1,-100.00%,↓
43,"Granularity=chunk, Syntagm Type=ADJP",2,Frequency,14.29%,0.00%,-14.29%,-100.00%,↓
44,"Granularity=chunk, Syntagm Type=ADVP",2,Result,0,1,+1,+100.00%,↑
44,"Granularity=chunk, Syntagm Type=ADVP",2,Frequency,0.00%,25.00%,+25.00%,+100.00%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Result,3,13,+10,+333.33%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Frequency,0.89%,3.87%,+2.98%,+334.83%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Result,11,32,+21,+190.91%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Frequency,1.71%,4.98%,+3.27%,+191.23%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Result,0,3,+3,+100.00%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Result,16,21,+5,+31.25%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Frequency,2.75%,3.61%,+0.86%,+31.27%,↑
49,"Granularity=clause, Sentence Index=0",2,Result,1,0,-1,-100.00%,↓
49,"Granularity=clause, Sentence Index=0",2,Frequency,1.82%,0.00%,-1.82%,-100.00%,↓
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Result,1,0,-1,-100.00%,↓
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,1.82%,0.00%,-1.82%,-100.00%,↓
51,"Granularity=clause, Sentence Index=1",2,Result,0,0,0,0.00%,=
51,"Granularity=clause, Sentence Index=1",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
53,"Granularity=clause, Sentence Index=2",2,Result,0,0,0,0.00%,=
53,"Granularity=clause, Sentence Index=2",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
55,"Granularity=clause, Sentence Index=3",2,Result,0,0,0,0.00%,=
55,"Granularity=clause, Sentence Index=3",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
57,"Granularity=clause, Syntagm Type=SBAR",2,Result,1,0,-1,-100.00%,↓
57,"Granularity=clause, Syntagm Type=SBAR",2,Frequency,1.39%,0.00%,-1.39%,-100.00%,↓
58,"Granularity=minimal, Sentence Index=0",2,Result,37,86,+49,+132.43%,↑
58,"Granularity=minimal, Sentence Index=0",2,Frequency,2.00%,4.66%,+2.66%,+133.00%,↑
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Result,1,1,0,0.00%,=
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,5.26%,5.26%,0.00%,0.00%,=
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Result,0,1,+1,+100.00%,↑
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,0.00%,3.57%,+3.57%,+100.00%,↑
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Result,0,0,0,0.00%,=
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Result,0,0,0,0.00%,=
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Result,32,67,+35,+109.38%,↑
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Frequency,2.12%,4.43%,+2.31%,+108.96%,↑
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Result,0,1,+1,+100.00%,↑
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Frequency,0.00%,6.67%,+6.67%,+100.00%,↑
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Result,1,8,+7,+700.00%,↑
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,1.02%,8.16%,+7.14%,+700.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Result,1,2,+1,+100.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Frequency,1.59%,3.17%,+1.58%,+99.37%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Result,0,1,+1,+100.00%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Frequency,0.00%,5.26%,+5.26%,+100.00%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Result,2,5,+3,+150.00%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Frequency,2.63%,6.58%,+3.95%,+150.19%,↑
71,"Granularity=minimal, Sentence Index=1",2,Result,15,18,+3,+20.00%,↑
71,"Granularity=minimal, Sentence Index=1",2,Frequency,4.50%,5.41%,+0.91%,+20.22%,↑
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Result,3,1,-2,-66.67%,↓
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Frequency,37.50%,12.50%,-25.00%,-66.67%,↓
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Result,10,13,+3,+30.00%,↑
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Frequency,3.88%,5.04%,+1.16%,+29.90%,↑
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Result,0,0,0,0.00%,=
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,3,+3,+100.00%,↑
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,12.00%,+12.00%,+100.00%,↑
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Result,2,1,-1,-50.00%,↓
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Frequency,25.00%,12.50%,-12.50%,-50.00%,↓
81,"Granularity=minimal, Sentence Index=2",2,Result,4,14,+10,+250.00%,↑
81,"Granularity=minimal, Sentence Index=2",2,Frequency,1.57%,5.51%,+3.94%,+250.96%,↑
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Result,0,0,0,0.00%,=
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Result,4,11,+7,+175.00%,↑
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Frequency,2.12%,5.82%,+3.70%,+174.53%,↑
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Result,0,0,0,0.00%,=
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,1,+1,+100.00%,↑
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,3.70%,+3.70%,+100.00%,↑
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Result,0,1,+1,+100.00%,↑
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Result,0,1,+1,+100.00%,↑
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
92,"Granularity=minimal, Sentence Index=3",2,Result,4,1,-3,-75.00%,↓
92,"Granularity=minimal, Sentence Index=3",2,Frequency,3.17%,0.79%,-2.38%,-75.08%,↓
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Result,0,0,0,0.00%,=
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Result,4,1,-3,-75.00%,↓
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Frequency,4.21%,1.05%,-3.16%,-75.06%,↓
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Result,0,0,0,0.00%,=
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Result,0,0,0,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
101,"Granularity=minimal, Sentence Index=4",2,Result,0,1,+1,+100.00%,↑
101,"Granularity=minimal, Sentence Index=4",2,Frequency,0.00%,2.63%,+2.63%,+100.00%,↑
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,0,0,0.00%,=
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Result,0,1,+1,+100.00%,↑
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Frequency,0.00%,3.33%,+3.33%,+100.00%,↑
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Result,0,0,0,0.00%,=
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
108,"Granularity=minimal, Sentence Index=5",2,Result,0,0,0,0.00%,=
108,"Granularity=minimal, Sentence Index=5",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
113,"Granularity=minimal, Sentence Index=6",2,Result,0,0,0,0.00%,=
113,"Granularity=minimal, Sentence Index=6",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Result,0,0,0,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Result,0,0,0,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
123,"Granularity=minimal, Sentence Index=9",2,Result,0,5,+5,+100.00%,↑
123,"Granularity=minimal, Sentence Index=9",2,Frequency,0.00%,250.00%,+250.00%,+100.00%,↑
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Result,0,5,+5,+100.00%,↑
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Frequency,0.00%,250.00%,+250.00%,+100.00%,↑
125,"Granularity=minimal, Syntagm Type=ADJP",2,Result,1,1,0,0.00%,=
125,"Granularity=minimal, Syntagm Type=ADJP",2,Frequency,2.33%,2.33%,0.00%,0.00%,=
126,"Granularity=minimal, Syntagm Type=ADVP",2,Result,3,2,-1,-33.33%,↓
126,"Granularity=minimal, Syntagm Type=ADVP",2,Frequency,6.00%,4.00%,-2.00%,-33.33%,↓
