Row,Combination,Features,Column,Java,Python,Delta,Delta %,Direction
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Result,0,10,+10,+100.00%,↑
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Frequency,0.00%,52.63%,+52.63%,+100.00%,↑
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Result,1,11,+10,+1000.00%,↑
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Frequency,4.55%,50.00%,+45.45%,+998.90%,↑
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Result,3,11,+8,+266.67%,↑
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Frequency,8.11%,29.73%,+21.62%,+266.58%,↑
24,"Granularity=chunk, Sentence Index=4",2,Result,0,12,+12,+100.00%,↑
24,"Granularity=chunk, Sentence Index=4",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,2,+2,+100.00%,↑
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,200.00%,+200.00%,+100.00%,↑
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Result,0,1,+1,+100.00%,↑
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Result,0,2,+2,+100.00%,↑
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Result,0,7,+7,+100.00%,↑
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,38.89%,+38.89%,+100.00%,↑
31,"Granularity=chunk, Sentence Index=5",2,Result,0,3,+3,+100.00%,↑
31,"Granularity=chunk, Sentence Index=5",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Result,0,1,+1,+100.00%,↑
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Result,0,2,+2,+100.00%,↑
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
34,"Granularity=chunk, Sentence Index=6",2,Result,0,1,+1,+100.00%,↑
34,"Granularity=chunk, Sentence Index=6",2,Frequency,0.00%,16.67%,+16.67%,+100.00%,↑
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
37,"Granularity=chunk, Sentence Index=7",2,Result,0,0,0,0.00%,=
37,"Granularity=chunk, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
39,"Granularity=chunk, Sentence Index=8",2,Result,0,1,+1,+100.00%,↑
39,"Granularity=chunk, Sentence Index=8",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
41,"Granularity=chunk, Sentence Index=9",2,Result,0,0,0,0.00%,=
41,"Granularity=chunk, Sentence Index=9",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
43,"Granularity=chunk, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
43,"Granularity=chunk, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
44,"Granularity=chunk, Syntagm Type=ADVP",2,Result,1,2,+1,+100.00%,↑
44,"Granularity=chunk, Syntagm Type=ADVP",2,Frequency,25.00%,50.00%,+25.00%,+100.00%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Result,13,49,+36,+276.92%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Frequency,3.87%,14.58%,+10.71%,+276.74%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Result,32,105,+73,+228.12%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Frequency,4.98%,16.33%,+11.35%,+227.91%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Result,3,9,+6,+200.00%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Frequency,7.14%,21.43%,+14.29%,+200.14%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Result,21,126,+105,+500.00%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Frequency,3.61%,21.69%,+18.08%,+500.83%,↑
49,"Granularity=clause, Sentence Index=0",2,Result,0,7,+7,+100.00%,↑
49,"Granularity=clause, Sentence Index=0",2,Frequency,0.00%,12.73%,+12.73%,+100.00%,↑
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Result,0,7,+7,+100.00%,↑
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,0.00%,12.73%,+12.73%,+100.00%,↑
51,"Granularity=clause, Sentence Index=1",2,Result,0,1,+1,+100.00%,↑
51,"Granularity=clause, Sentence Index=1",2,Frequency,0.00%,11.11%,+11.11%,+100.00%,↑
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,1,+1,+100.00%,↑
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,11.11%,+11.11%,+100.00%,↑
53,"Granularity=clause, Sentence Index=2",2,Result,0,2,+2,+100.00%,↑
53,"Granularity=clause, Sentence Index=2",2,Frequency,0.00%,28.57%,+28.57%,+100.00%,↑
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,2,+2,+100.00%,↑
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,28.57%,+28.57%,+100.00%,↑
55,"Granularity=clause, Sentence Index=3",2,Result,0,0,0,0.00%,=
55,"Granularity=clause, Sentence Index=3",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
57,"Granularity=clause, Syntagm Type=SBAR",2,Result,0,10,+10,+100.00%,↑
57,"Granularity=clause, Syntagm Type=SBAR",2,Frequency,0.00%,13.89%,+13.89%,+100.00%,↑
58,"Granularity=minimal, Sentence Index=0",2,Result,86,261,+175,+203.49%,↑
58,"Granularity=minimal, Sentence Index=0",2,Frequency,4.66%,14.13%,+9.47%,+203.22%,↑
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Result,1,1,0,0.00%,=
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,5.26%,5.26%,0.00%,0.00%,=
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Result,1,2,+1,+100.00%,↑
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,3.57%,7.14%,+3.57%,+100.00%,↑
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Result,0,1,+1,+100.00%,↑
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Result,0,0,0,0.00%,=
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Result,67,216,+149,+222.39%,↑
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Frequency,4.43%,14.30%,+9.87%,+222.80%,↑
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Result,1,3,+2,+200.00%,↑
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Frequency,6.67%,20.00%,+13.33%,+199.85%,↑
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Result,8,10,+2,+25.00%,↑
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,8.16%,10.20%,+2.04%,+25.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Result,2,9,+7,+350.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Frequency,3.17%,14.29%,+11.12%,+350.79%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Result,1,4,+3,+300.00%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Frequency,5.26%,21.05%,+15.79%,+300.19%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Result,5,15,+10,+200.00%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Frequency,6.58%,19.74%,+13.16%,+200.00%,↑
71,"Granularity=minimal, Sentence Index=1",2,Result,18,86,+68,+377.78%,↑
71,"Granularity=minimal, Sentence Index=1",2,Frequency,5.41%,25.83%,+20.42%,+377.45%,↑
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Result,0,3,+3,+100.00%,↑
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Frequency,0.00%,27.27%,+27.27%,+100.00%,↑
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Result,1,3,+2,+200.00%,↑
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Frequency,12.50%,37.50%,+25.00%,+200.00%,↑
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Result,13,67,+54,+415.38%,↑
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Frequency,5.04%,25.97%,+20.93%,+415.28%,↑
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Result,0,3,+3,+100.00%,↑
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Result,3,3,0,0.00%,=
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,12.00%,12.00%,0.00%,0.00%,=
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Result,0,4,+4,+100.00%,↑
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Frequency,0.00%,30.77%,+30.77%,+100.00%,↑
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Result,1,3,+2,+200.00%,↑
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Frequency,12.50%,37.50%,+25.00%,+200.00%,↑
81,"Granularity=minimal, Sentence Index=2",2,Result,14,94,+80,+571.43%,↑
81,"Granularity=minimal, Sentence Index=2",2,Frequency,5.51%,37.01%,+31.50%,+571.69%,↑
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,3,+3,+100.00%,↑
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Result,0,3,+3,+100.00%,↑
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Result,11,71,+60,+545.45%,↑
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Frequency,5.82%,37.57%,+31.75%,+545.53%,↑
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Result,0,1,+1,+100.00%,↑
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Result,0,0,0,0.00%,=
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Result,1,11,+10,+1000.00%,↑
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,3.70%,40.74%,+37.04%,+1001.08%,↑
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Result,1,4,+3,+300.00%,↑
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Frequency,20.00%,80.00%,+60.00%,+300.00%,↑
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Result,1,1,0,0.00%,=
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Frequency,20.00%,20.00%,0.00%,0.00%,=
92,"Granularity=minimal, Sentence Index=3",2,Result,1,55,+54,+5400.00%,↑
92,"Granularity=minimal, Sentence Index=3",2,Frequency,0.79%,43.65%,+42.86%,+5425.32%,↑
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Result,0,5,+5,+100.00%,↑
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Result,1,40,+39,+3900.00%,↑
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Frequency,1.05%,42.11%,+41.06%,+3910.48%,↑
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Result,0,1,+1,+100.00%,↑
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,6,+6,+100.00%,↑
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Result,0,3,+3,+100.00%,↑
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Frequency,0.00%,60.00%,+60.00%,+100.00%,↑
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Result,0,0,0,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
101,"Granularity=minimal, Sentence Index=4",2,Result,1,21,+20,+2000.00%,↑
101,"Granularity=minimal, Sentence Index=4",2,Frequency,2.63%,55.26%,+52.63%,+2001.14%,↑
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,1,+1,+100.00%,↑
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Result,1,16,+15,+1500.00%,↑
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Frequency,3.33%,53.33%,+50.00%,+1501.50%,↑
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,2,+2,+100.00%,↑
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,66.67%,+66.67%,+100.00%,↑
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Result,0,1,+1,+100.00%,↑
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
108,"Granularity=minimal, Sentence Index=5",2,Result,0,5,+5,+100.00%,↑
108,"Granularity=minimal, Sentence Index=5",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Result,0,4,+4,+100.00%,↑
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
113,"Granularity=minimal, Sentence Index=6",2,Result,0,4,+4,+100.00%,↑
113,"Granularity=minimal, Sentence Index=6",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Result,0,4,+4,+100.00%,↑
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Frequency,0.00%,44.44%,+44.44%,+100.00%,↑
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Result,0,0,0,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Result,0,0,0,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
123,"Granularity=minimal, Sentence Index=9",2,Result,5,0,-5,-100.00%,↓
123,"Granularity=minimal, Sentence Index=9",2,Frequency,250.00%,0.00%,-250.00%,-100.00%,↓
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Result,5,0,-5,-100.00%,↓
