Row,Combination,Features,Column,C,Python,Delta,Delta %,Direction
24,"Granularity=chunk, Sentence Index=4",2,Result,0,12,+12,+100.00%,↑
24,"Granularity=chunk, Sentence Index=4",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,2,+2,+100.00%,↑
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,200.00%,+200.00%,+100.00%,↑
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Result,0,1,+1,+100.00%,↑
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Result,0,2,+2,+100.00%,↑
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Result,0,7,+7,+100.00%,↑
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,38.89%,+38.89%,+100.00%,↑
31,"Granularity=chunk, Sentence Index=5",2,Result,0,3,+3,+100.00%,↑
31,"Granularity=chunk, Sentence Index=5",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Result,0,1,+1,+100.00%,↑
32,"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Result,0,2,+2,+100.00%,↑
33,"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
34,"Granularity=chunk, Sentence Index=6",2,Result,0,1,+1,+100.00%,↑
34,"Granularity=chunk, Sentence Index=6",2,Frequency,0.00%,16.67%,+16.67%,+100.00%,↑
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
35,"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
36,"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
37,"Granularity=chunk, Sentence Index=7",2,Result,0,0,0,0.00%,=
37,"Granularity=chunk, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
38,"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
39,"Granularity=chunk, Sentence Index=8",2,Result,0,1,+1,+100.00%,↑
39,"Granularity=chunk, Sentence Index=8",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
40,"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
41,"Granularity=chunk, Sentence Index=9",2,Result,0,0,0,0.00%,=
41,"Granularity=chunk, Sentence Index=9",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
42,"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
43,"Granularity=chunk, Syntagm Type=ADJP",2,Result,1,0,-1,-100.00%,↓
43,"Granularity=chunk, Syntagm Type=ADJP",2,Frequency,14.29%,0.00%,-14.29%,-100.00%,↓
44,"Granularity=chunk, Syntagm Type=ADVP",2,Result,0,2,+2,+100.00%,↑
44,"Granularity=chunk, Syntagm Type=ADVP",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Result,3,49,+46,+1533.33%,↑
45,"Granularity=chunk, Syntagm Type=NP",2,Frequency,0.89%,14.58%,+13.69%,+1538.20%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Result,11,105,+94,+854.55%,↑
46,"Granularity=chunk, Syntagm Type=PP",2,Frequency,1.71%,16.33%,+14.62%,+854.97%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Result,0,9,+9,+100.00%,↑
47,"Granularity=chunk, Syntagm Type=SBAR",2,Frequency,0.00%,21.43%,+21.43%,+100.00%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Result,16,126,+110,+687.50%,↑
48,"Granularity=chunk, Syntagm Type=VP",2,Frequency,2.75%,21.69%,+18.94%,+688.73%,↑
49,"Granularity=clause, Sentence Index=0",2,Result,1,7,+6,+600.00%,↑
49,"Granularity=clause, Sentence Index=0",2,Frequency,1.82%,12.73%,+10.91%,+599.45%,↑
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Result,1,7,+6,+600.00%,↑
50,"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,1.82%,12.73%,+10.91%,+599.45%,↑
51,"Granularity=clause, Sentence Index=1",2,Result,0,1,+1,+100.00%,↑
51,"Granularity=clause, Sentence Index=1",2,Frequency,0.00%,11.11%,+11.11%,+100.00%,↑
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,1,+1,+100.00%,↑
52,"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,11.11%,+11.11%,+100.00%,↑
53,"Granularity=clause, Sentence Index=2",2,Result,0,2,+2,+100.00%,↑
53,"Granularity=clause, Sentence Index=2",2,Frequency,0.00%,28.57%,+28.57%,+100.00%,↑
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,2,+2,+100.00%,↑
54,"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,28.57%,+28.57%,+100.00%,↑
55,"Granularity=clause, Sentence Index=3",2,Result,0,0,0,0.00%,=
55,"Granularity=clause, Sentence Index=3",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
56,"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
57,"Granularity=clause, Syntagm Type=SBAR",2,Result,1,10,+9,+900.00%,↑
57,"Granularity=clause, Syntagm Type=SBAR",2,Frequency,1.39%,13.89%,+12.50%,+899.28%,↑
58,"Granularity=minimal, Sentence Index=0",2,Result,37,261,+224,+605.41%,↑
58,"Granularity=minimal, Sentence Index=0",2,Frequency,2.00%,14.13%,+12.13%,+606.50%,↑
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Result,1,1,0,0.00%,=
59,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,5.26%,5.26%,0.00%,0.00%,=
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Result,0,2,+2,+100.00%,↑
60,"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Result,0,1,+1,+100.00%,↑
61,"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Result,0,0,0,0.00%,=
62,"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Result,32,216,+184,+575.00%,↑
63,"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,Frequency,2.12%,14.30%,+12.18%,+574.53%,↑
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
64,"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Result,0,3,+3,+100.00%,↑
65,"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
66,"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Result,1,10,+9,+900.00%,↑
67,"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,1.02%,10.20%,+9.18%,+900.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Result,1,9,+8,+800.00%,↑
68,"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,Frequency,1.59%,14.29%,+12.70%,+798.74%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Result,0,4,+4,+100.00%,↑
69,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,Frequency,0.00%,21.05%,+21.05%,+100.00%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Result,2,15,+13,+650.00%,↑
70,"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,Frequency,2.63%,19.74%,+17.11%,+650.57%,↑
71,"Granularity=minimal, Sentence Index=1",2,Result,15,86,+71,+473.33%,↑
71,"Granularity=minimal, Sentence Index=1",2,Frequency,4.50%,25.83%,+21.33%,+474.00%,↑
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Result,0,3,+3,+100.00%,↑
72,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,Frequency,0.00%,27.27%,+27.27%,+100.00%,↑
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Result,3,3,0,0.00%,=
73,"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,Frequency,37.50%,37.50%,0.00%,0.00%,=
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Result,10,67,+57,+570.00%,↑
74,"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,Frequency,3.88%,25.97%,+22.09%,+569.33%,↑
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
75,"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Result,0,3,+3,+100.00%,↑
76,"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,3,+3,+100.00%,↑
77,"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,12.00%,+12.00%,+100.00%,↑
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Result,0,4,+4,+100.00%,↑
78,"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,Frequency,0.00%,30.77%,+30.77%,+100.00%,↑
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
79,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Result,2,3,+1,+50.00%,↑
80,"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,Frequency,25.00%,37.50%,+12.50%,+50.00%,↑
81,"Granularity=minimal, Sentence Index=2",2,Result,4,94,+90,+2250.00%,↑
81,"Granularity=minimal, Sentence Index=2",2,Frequency,1.57%,37.01%,+35.44%,+2257.32%,↑
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,3,+3,+100.00%,↑
82,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Result,0,3,+3,+100.00%,↑
83,"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Result,4,71,+67,+1675.00%,↑
84,"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,Frequency,2.12%,37.57%,+35.45%,+1672.17%,↑
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Result,0,1,+1,+100.00%,↑
85,"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Result,0,0,0,0.00%,=
86,"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Result,0,0,0,0.00%,=
87,"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,11,+11,+100.00%,↑
88,"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,40.74%,+40.74%,+100.00%,↑
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
89,"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Result,0,4,+4,+100.00%,↑
90,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,Frequency,0.00%,80.00%,+80.00%,+100.00%,↑
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Result,0,1,+1,+100.00%,↑
91,"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
92,"Granularity=minimal, Sentence Index=3",2,Result,4,55,+51,+1275.00%,↑
92,"Granularity=minimal, Sentence Index=3",2,Frequency,3.17%,43.65%,+40.48%,+1276.97%,↑
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
93,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Result,0,5,+5,+100.00%,↑
94,"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Result,4,40,+36,+900.00%,↑
95,"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,Frequency,4.21%,42.11%,+37.90%,+900.24%,↑
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Result,0,1,+1,+100.00%,↑
96,"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,6,+6,+100.00%,↑
97,"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Result,0,3,+3,+100.00%,↑
98,"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,Frequency,0.00%,60.00%,+60.00%,+100.00%,↑
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Result,0,0,0,0.00%,=
99,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Result,0,0,0,0.00%,=
100,"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
101,"Granularity=minimal, Sentence Index=4",2,Result,0,21,+21,+100.00%,↑
101,"Granularity=minimal, Sentence Index=4",2,Frequency,0.00%,55.26%,+55.26%,+100.00%,↑
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
102,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,1,+1,+100.00%,↑
103,"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Result,0,16,+16,+100.00%,↑
104,"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,Frequency,0.00%,53.33%,+53.33%,+100.00%,↑
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,2,+2,+100.00%,↑
105,"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,66.67%,+66.67%,+100.00%,↑
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
106,"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Result,0,1,+1,+100.00%,↑
107,"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
108,"Granularity=minimal, Sentence Index=5",2,Result,0,5,+5,+100.00%,↑
108,"Granularity=minimal, Sentence Index=5",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
109,"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Result,0,4,+4,+100.00%,↑
110,"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
111,"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Result,0,1,+1,+100.00%,↑
112,"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
113,"Granularity=minimal, Sentence Index=6",2,Result,0,4,+4,+100.00%,↑
113,"Granularity=minimal, Sentence Index=6",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Result,0,4,+4,+100.00%,↑
114,"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,Frequency,0.00%,44.44%,+44.44%,+100.00%,↑
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
115,"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
116,"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Result,0,0,0,0.00%,=
117,"Granularity=minimal, Sentence Index=7",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
118,"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
119,"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
120,"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Result,0,0,0,0.00%,=
121,"Granularity=minimal, Sentence Index=8",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
122,"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
123,"Granularity=minimal, Sentence Index=9",2,Result,0,0,0,0.00%,=
123,"Granularity=minimal, Sentence Index=9",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
