Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,62,55.36%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,3,150.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,4,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,6,3,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,2,2,100.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,5,4,80.00%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,23,23,100.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,1,1,100.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,19,19,100.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,3,3,100.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,29,28,96.55%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,2,2,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,18,20,111.11%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,3,3,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,4,3,75.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,6,3,50.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,5,2,40.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,1,1,100.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,5,4,80.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,3,3,100.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,2,1,50.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,1,1,100.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,1,1,100.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,2,2,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,1,1,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,1,100.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,2,66.67%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,2,50.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,107,67.72%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,3,150.00%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,14,73.68%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,6,60.00%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,2,66.67%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,4,66.67%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,2,1,50.00%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,140,70,50.00%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,56,23,41.07%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,1,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,2,0,0.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,10,5,50.00%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,29,14,48.28%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,2,2,100.00%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,5,4,80.00%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,1,1,100.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,19,19,100.00%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,5,2,40.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,7,8,114.29%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,9,11,122.22%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,2,2,100.00%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,19,22,115.79%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,1,1,100.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,4,3,75.00%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,13,15,115.38%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,1,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,1,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,8,5,62.50%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,1,1,100.00%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,2,2,100.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,3,3,100.00%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,1,1,100.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,2,1,50.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,1,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,1,100.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,1,1,100.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,1,1,100.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,1,100.00%
