Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,6,1,16.67%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,5,0,0.00%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,23,2,8.70%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,1,1,100.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,19,1,5.26%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,29,3,10.34%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,18,3,16.67%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,4,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,6,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,5,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,3,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,1,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,2,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,1,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,0,0.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,1,33.33%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,0,0.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,15,9.49%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,0,0.00%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,0,0.00%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,1,10.00%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,0,0.00%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,0,0.00%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,2,0,0.00%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,140,11,7.86%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,56,5,8.93%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,1,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,2,0,0.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,10,0,0.00%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,29,3,10.34%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,2,0,0.00%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,5,0,0.00%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,1,1,100.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,19,1,5.26%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,5,0,0.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,7,1,14.29%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,9,0,0.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,2,0,0.00%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,19,3,15.79%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,1,0,0.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,4,0,0.00%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,13,1,7.69%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,1,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,1,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,8,0,0.00%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,1,0,0.00%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,2,1,50.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,3,0,0.00%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,1,0,0.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,2,0,0.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,1,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,0,0.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,1,0,0.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,1,0,0.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,0,0.00%
