Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4.0,NP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,18,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,7,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5.0,VP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6",2,chunk,6.0,,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6.0,VP,5,0,0.00%,False
"Granularity=chunk, Sentence Index=7",2,chunk,7.0,,2,0,0.00%,False
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7.0,VP,2,0,0.00%,False
"Granularity=chunk, Sentence Index=8",2,chunk,8.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9",2,chunk,9.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9.0,VP,1,0,0.00%,False
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,1,14.29%,True
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,1,25.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,19,5.65%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,46,7.15%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,3,7.14%,True
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,32,5.51%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,55,4,7.27%,True
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,55,4,7.27%,True
"Granularity=clause, Sentence Index=1",2,clause,1.0,,9,0,0.00%,False
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,9,0,0.00%,False
"Granularity=clause, Sentence Index=2",2,clause,2.0,,7,0,0.00%,False
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2.0,SBAR,7,0,0.00%,False
"Granularity=clause, Sentence Index=3",2,clause,3.0,,1,0,0.00%,False
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3.0,SBAR,1,0,0.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,4,5.56%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,1847,159,8.61%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,19,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,28,1,3.57%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,minimal,0.0,CONJP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,minimal,0.0,INTJ,2,1,50.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,1511,129,8.54%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,10,1,10.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,15,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,5,1,20.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,98,11,11.22%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,63,3,4.76%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,19,1,5.26%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,76,10,13.16%,True
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,333,10,3.00%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,11,1,9.09%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1.0,ADVP,8,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,258,7,2.71%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1.0,PP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1.0,PRT,6,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,25,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1.0,VP,13,1,7.69%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1.0,WHADVP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1.0,WHNP,8,0,0.00%,False
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,254,8,3.15%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2.0,ADJP,7,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,7,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,189,7,3.70%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2.0,PP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2.0,QP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,27,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,10,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,5,1,20.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,5,0,0.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,126,10,7.94%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3.0,ADJP,3,1,33.33%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,minimal,3.0,ADVP,5,0,0.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3.0,NP,95,7,7.37%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,minimal,3.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3.0,SBAR,15,2,13.33%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,minimal,3.0,VP,5,0,0.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,minimal,3.0,WHADVP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,minimal,3.0,WHNP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=4",2,minimal,4.0,,38,3,7.89%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,minimal,4.0,ADJP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,minimal,4.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4.0,NP,30,3,10.00%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4.0,SBAR,3,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,minimal,4.0,VP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,minimal,4.0,WHNP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=5",2,minimal,5.0,,15,0,0.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,minimal,5.0,ADJP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,minimal,5.0,NP,10,0,0.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,minimal,5.0,SBAR,2,0,0.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,minimal,5.0,VP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=6",2,minimal,6.0,,12,0,0.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,minimal,6.0,NP,9,0,0.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6.0,SBAR,2,0,0.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,minimal,6.0,VP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=7",2,minimal,7.0,,6,0,0.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7.0,NP,4,0,0.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7.0,SBAR,1,0,0.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,minimal,7.0,VP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=8",2,minimal,8.0,,2,0,0.00%,False
"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,minimal,8.0,NP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=9",2,minimal,9.0,,2,0,0.00%,False
"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,minimal,9.0,NP,2,0,0.00%,False
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,43,2,4.65%,True
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,50,1,2.00%,True
"Granularity=minimal, Syntagm Type=CONJP",2,minimal,,CONJP,1,1,100.00%,False
"Granularity=minimal, Syntagm Type=INTJ",2,minimal,,INTJ,2,1,50.00%,False
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,2110,153,7.25%,True
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,14,1,7.14%,True
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,23,0,0.00%,False
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,6,1,16.67%,False
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,173,13,7.51%,True
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,95,4,4.21%,True
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,27,3,11.11%,True
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,91,10,10.99%,True
"Sentence Index=0, Syntagm Type=ADJP",2,,0.0,ADJP,23,0,0.00%,False
"Sentence Index=0, Syntagm Type=ADVP",2,,0.0,ADVP,31,2,6.45%,True
"Sentence Index=0, Syntagm Type=CONJP",2,,0.0,CONJP,1,1,100.00%,False
"Sentence Index=0, Syntagm Type=INTJ",2,,0.0,INTJ,2,1,50.00%,False
"Sentence Index=0, Syntagm Type=NP",2,,0.0,NP,1774,147,8.29%,True
"Sentence Index=0, Syntagm Type=PP",2,,0.0,PP,516,43,8.33%,True
"Sentence Index=0, Syntagm Type=PRT",2,,0.0,PRT,15,0,0.00%,False
"Sentence Index=0, Syntagm Type=QP",2,,0.0,QP,5,1,20.00%,False
"Sentence Index=0, Syntagm Type=SBAR",2,,0.0,SBAR,182,17,9.34%,True
"Sentence Index=0, Syntagm Type=VP",2,,0.0,VP,386,27,6.99%,True
"Sentence Index=0, Syntagm Type=WHADVP",2,,0.0,WHADVP,19,1,5.26%,True
"Sentence Index=0, Syntagm Type=WHNP",2,,0.0,WHNP,76,10,13.16%,True
"Sentence Index=1, Syntagm Type=ADJP",2,,1.0,ADJP,11,1,9.09%,True
"Sentence Index=1, Syntagm Type=ADVP",2,,1.0,ADVP,8,0,0.00%,False
"Sentence Index=1, Syntagm Type=NP",2,,1.0,NP,283,7,2.47%,True
"Sentence Index=1, Syntagm Type=PP",2,,1.0,PP,66,1,1.52%,True
"Sentence Index=1, Syntagm Type=PRT",2,,1.0,PRT,6,0,0.00%,False
"Sentence Index=1, Syntagm Type=SBAR",2,,1.0,SBAR,41,1,2.44%,True
"Sentence Index=1, Syntagm Type=VP",2,,1.0,VP,118,1,0.85%,True
"Sentence Index=1, Syntagm Type=WHADVP",2,,1.0,WHADVP,2,1,50.00%,False
"Sentence Index=1, Syntagm Type=WHNP",2,,1.0,WHNP,8,0,0.00%,False
"Sentence Index=2, Syntagm Type=ADJP",2,,2.0,ADJP,8,0,0.00%,False
"Sentence Index=2, Syntagm Type=ADVP",2,,2.0,ADVP,7,0,0.00%,False
"Sentence Index=2, Syntagm Type=NP",2,,2.0,NP,217,8,3.69%,True
"Sentence Index=2, Syntagm Type=PP",2,,2.0,PP,45,3,6.67%,True
"Sentence Index=2, Syntagm Type=PRT",2,,2.0,PRT,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=QP",2,,2.0,QP,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=SBAR",2,,2.0,SBAR,38,0,0.00%,False
"Sentence Index=2, Syntagm Type=VP",2,,2.0,VP,93,5,5.38%,True
"Sentence Index=2, Syntagm Type=WHADVP",2,,2.0,WHADVP,5,1,20.00%,True
"Sentence Index=2, Syntagm Type=WHNP",2,,2.0,WHNP,5,0,0.00%,False
"Sentence Index=3, Syntagm Type=ADJP",2,,3.0,ADJP,4,2,50.00%,True
"Sentence Index=3, Syntagm Type=ADVP",2,,3.0,ADVP,5,0,0.00%,False
"Sentence Index=3, Syntagm Type=NP",2,,3.0,NP,114,7,6.14%,True
"Sentence Index=3, Syntagm Type=PP",2,,3.0,PP,22,0,0.00%,False
"Sentence Index=3, Syntagm Type=PRT",2,,3.0,PRT,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=SBAR",2,,3.0,SBAR,17,2,11.76%,True
"Sentence Index=3, Syntagm Type=VP",2,,3.0,VP,42,3,7.14%,True
"Sentence Index=3, Syntagm Type=WHADVP",2,,3.0,WHADVP,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=WHNP",2,,3.0,WHNP,1,0,0.00%,False
"Sentence Index=4, Syntagm Type=ADJP",2,,4.0,ADJP,2,0,0.00%,False
"Sentence Index=4, Syntagm Type=ADVP",2,,4.0,ADVP,3,0,0.00%,False
"Sentence Index=4, Syntagm Type=NP",2,,4.0,NP,31,3,9.68%,True
"Sentence Index=4, Syntagm Type=PP",2,,4.0,PP,6,0,0.00%,False
"Sentence Index=4, Syntagm Type=SBAR",2,,4.0,SBAR,4,0,0.00%,False
"Sentence Index=4, Syntagm Type=VP",2,,4.0,VP,19,0,0.00%,False
"Sentence Index=4, Syntagm Type=WHNP",2,,4.0,WHNP,1,0,0.00%,False
"Sentence Index=5, Syntagm Type=ADJP",2,,5.0,ADJP,2,0,0.00%,False
"Sentence Index=5, Syntagm Type=NP",2,,5.0,NP,10,0,0.00%,False
"Sentence Index=5, Syntagm Type=PP",2,,5.0,PP,1,0,0.00%,False
"Sentence Index=5, Syntagm Type=SBAR",2,,5.0,SBAR,2,0,0.00%,False
"Sentence Index=5, Syntagm Type=VP",2,,5.0,VP,7,0,0.00%,False
"Sentence Index=6, Syntagm Type=NP",2,,6.0,NP,9,0,0.00%,False
"Sentence Index=6, Syntagm Type=PP",2,,6.0,PP,1,0,0.00%,False
"Sentence Index=6, Syntagm Type=SBAR",2,,6.0,SBAR,2,0,0.00%,False
"Sentence Index=6, Syntagm Type=VP",2,,6.0,VP,6,0,0.00%,False
"Sentence Index=7, Syntagm Type=NP",2,,7.0,NP,4,0,0.00%,False
"Sentence Index=7, Syntagm Type=SBAR",2,,7.0,SBAR,1,0,0.00%,False
"Sentence Index=7, Syntagm Type=VP",2,,7.0,VP,3,0,0.00%,False
"Sentence Index=8, Syntagm Type=NP",2,,8.0,NP,2,0,0.00%,False
"Sentence Index=8, Syntagm Type=VP",2,,8.0,VP,1,0,0.00%,False
"Sentence Index=9, Syntagm Type=NP",2,,9.0,NP,2,0,0.00%,False
"Sentence Index=9, Syntagm Type=VP",2,,9.0,VP,1,0,0.00%,False
