Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=minimal, Sentence Index=3, Syntagm Type=PRT",3,minimal,3.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3.0,SBAR,15,12,80.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=VP",3,minimal,3.0,VP,5,4,80.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHADVP",3,minimal,3.0,WHADVP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=WHNP",3,minimal,3.0,WHNP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=4",2,minimal,4.0,,38,29,76.32%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADJP",3,minimal,4.0,ADJP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=ADVP",3,minimal,4.0,ADVP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4.0,NP,30,24,80.00%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4.0,SBAR,3,2,66.67%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=VP",3,minimal,4.0,VP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=WHNP",3,minimal,4.0,WHNP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=5",2,minimal,5.0,,15,15,100.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=ADJP",3,minimal,5.0,ADJP,2,2,100.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=NP",3,minimal,5.0,NP,10,10,100.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=SBAR",3,minimal,5.0,SBAR,2,2,100.00%,False
"Granularity=minimal, Sentence Index=5, Syntagm Type=VP",3,minimal,5.0,VP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=6",2,minimal,6.0,,12,12,100.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=NP",3,minimal,6.0,NP,9,9,100.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6.0,SBAR,2,2,100.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=VP",3,minimal,6.0,VP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=7",2,minimal,7.0,,6,6,100.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7.0,NP,4,4,100.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7.0,SBAR,1,1,100.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=VP",3,minimal,7.0,VP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=8",2,minimal,8.0,,2,2,100.00%,False
"Granularity=minimal, Sentence Index=8, Syntagm Type=NP",3,minimal,8.0,NP,2,2,100.00%,False
"Granularity=minimal, Sentence Index=9",2,minimal,9.0,,2,2,100.00%,False
"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,minimal,9.0,NP,2,2,100.00%,False
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,43,24,55.81%,True
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,50,15,30.00%,True
"Granularity=minimal, Syntagm Type=CONJP",2,minimal,,CONJP,1,1,100.00%,False
"Granularity=minimal, Syntagm Type=INTJ",2,minimal,,INTJ,2,0,0.00%,False
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,2110,945,44.79%,True
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,14,6,42.86%,True
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,23,7,30.43%,True
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,6,1,16.67%,True
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,173,79,45.66%,True
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,95,46,48.42%,True
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,27,21,77.78%,True
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,91,52,57.14%,True
"Sentence Index=0, Syntagm Type=ADJP",2,,0.0,ADJP,23,5,21.74%,True
"Sentence Index=0, Syntagm Type=ADVP",2,,0.0,ADVP,31,4,12.90%,True
"Sentence Index=0, Syntagm Type=CONJP",2,,0.0,CONJP,1,1,100.00%,False
"Sentence Index=0, Syntagm Type=INTJ",2,,0.0,INTJ,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=NP",2,,0.0,NP,1774,637,35.91%,True
"Sentence Index=0, Syntagm Type=PP",2,,0.0,PP,516,172,33.33%,True
"Sentence Index=0, Syntagm Type=PRT",2,,0.0,PRT,15,4,26.67%,True
"Sentence Index=0, Syntagm Type=QP",2,,0.0,QP,5,1,20.00%,False
"Sentence Index=0, Syntagm Type=SBAR",2,,0.0,SBAR,182,72,39.56%,True
"Sentence Index=0, Syntagm Type=VP",2,,0.0,VP,386,141,36.53%,True
"Sentence Index=0, Syntagm Type=WHADVP",2,,0.0,WHADVP,19,14,73.68%,True
"Sentence Index=0, Syntagm Type=WHNP",2,,0.0,WHNP,76,43,56.58%,True
"Sentence Index=1, Syntagm Type=ADJP",2,,1.0,ADJP,11,6,54.55%,True
"Sentence Index=1, Syntagm Type=ADVP",2,,1.0,ADVP,8,4,50.00%,True
"Sentence Index=1, Syntagm Type=NP",2,,1.0,NP,283,154,54.42%,True
"Sentence Index=1, Syntagm Type=PP",2,,1.0,PP,66,32,48.48%,True
"Sentence Index=1, Syntagm Type=PRT",2,,1.0,PRT,6,3,50.00%,True
"Sentence Index=1, Syntagm Type=SBAR",2,,1.0,SBAR,41,24,58.54%,True
"Sentence Index=1, Syntagm Type=VP",2,,1.0,VP,118,67,56.78%,True
"Sentence Index=1, Syntagm Type=WHADVP",2,,1.0,WHADVP,2,2,100.00%,False
"Sentence Index=1, Syntagm Type=WHNP",2,,1.0,WHNP,8,6,75.00%,True
"Sentence Index=2, Syntagm Type=ADJP",2,,2.0,ADJP,8,8,100.00%,False
"Sentence Index=2, Syntagm Type=ADVP",2,,2.0,ADVP,7,5,71.43%,True
"Sentence Index=2, Syntagm Type=NP",2,,2.0,NP,217,151,69.59%,True
"Sentence Index=2, Syntagm Type=PP",2,,2.0,PP,45,33,73.33%,True
"Sentence Index=2, Syntagm Type=PRT",2,,2.0,PRT,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=QP",2,,2.0,QP,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=SBAR",2,,2.0,SBAR,38,30,78.95%,True
"Sentence Index=2, Syntagm Type=VP",2,,2.0,VP,93,72,77.42%,True
"Sentence Index=2, Syntagm Type=WHADVP",2,,2.0,WHADVP,5,4,80.00%,True
"Sentence Index=2, Syntagm Type=WHNP",2,,2.0,WHNP,5,1,20.00%,False
"Sentence Index=3, Syntagm Type=ADJP",2,,3.0,ADJP,4,4,100.00%,False
"Sentence Index=3, Syntagm Type=ADVP",2,,3.0,ADVP,5,3,60.00%,True
"Sentence Index=3, Syntagm Type=NP",2,,3.0,NP,114,80,70.18%,True
"Sentence Index=3, Syntagm Type=PP",2,,3.0,PP,22,13,59.09%,True
"Sentence Index=3, Syntagm Type=PRT",2,,3.0,PRT,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=SBAR",2,,3.0,SBAR,17,14,82.35%,True
"Sentence Index=3, Syntagm Type=VP",2,,3.0,VP,42,32,76.19%,True
"Sentence Index=3, Syntagm Type=WHADVP",2,,3.0,WHADVP,1,1,100.00%,False
"Sentence Index=3, Syntagm Type=WHNP",2,,3.0,WHNP,1,1,100.00%,False
"Sentence Index=4, Syntagm Type=ADJP",2,,4.0,ADJP,2,2,100.00%,False
"Sentence Index=4, Syntagm Type=ADVP",2,,4.0,ADVP,3,2,66.67%,False
"Sentence Index=4, Syntagm Type=NP",2,,4.0,NP,31,25,80.65%,True
"Sentence Index=4, Syntagm Type=PP",2,,4.0,PP,6,6,100.00%,False
"Sentence Index=4, Syntagm Type=SBAR",2,,4.0,SBAR,4,3,75.00%,True
"Sentence Index=4, Syntagm Type=VP",2,,4.0,VP,19,14,73.68%,True
"Sentence Index=4, Syntagm Type=WHNP",2,,4.0,WHNP,1,1,100.00%,False
"Sentence Index=5, Syntagm Type=ADJP",2,,5.0,ADJP,2,2,100.00%,False
"Sentence Index=5, Syntagm Type=NP",2,,5.0,NP,10,10,100.00%,False
"Sentence Index=5, Syntagm Type=PP",2,,5.0,PP,1,1,100.00%,False
"Sentence Index=5, Syntagm Type=SBAR",2,,5.0,SBAR,2,2,100.00%,False
"Sentence Index=5, Syntagm Type=VP",2,,5.0,VP,7,7,100.00%,False
"Sentence Index=6, Syntagm Type=NP",2,,6.0,NP,9,9,100.00%,False
"Sentence Index=6, Syntagm Type=PP",2,,6.0,PP,1,1,100.00%,False
"Sentence Index=6, Syntagm Type=SBAR",2,,6.0,SBAR,2,2,100.00%,False
"Sentence Index=6, Syntagm Type=VP",2,,6.0,VP,6,6,100.00%,False
"Sentence Index=7, Syntagm Type=NP",2,,7.0,NP,4,4,100.00%,False
"Sentence Index=7, Syntagm Type=SBAR",2,,7.0,SBAR,1,1,100.00%,False
"Sentence Index=7, Syntagm Type=VP",2,,7.0,VP,3,3,100.00%,False
"Sentence Index=8, Syntagm Type=NP",2,,8.0,NP,2,2,100.00%,False
"Sentence Index=8, Syntagm Type=VP",2,,8.0,VP,1,1,100.00%,False
"Sentence Index=9, Syntagm Type=NP",2,,9.0,NP,2,2,100.00%,False
"Sentence Index=9, Syntagm Type=VP",2,,9.0,VP,1,1,100.00%,False
