Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,13,15,115.38%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,1,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,1,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,8,5,62.50%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,1,1,100.00%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,2,2,100.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,3,4,133.33%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,1,1,100.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,2,1,50.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,1,1,100.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,1,100.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,1,1,100.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,1,1,100.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,1,100.00%
