Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,19,1,3.51%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,3,0,11.11%,False
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,29,1,4.60%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,18,1,7.41%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,3,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,4,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,6,1,16.67%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3.0,NP,5,1,20.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3.0,SBAR,1,0,0.00%,False
"Granularity=minimal, Sentence Index=4",2,minimal,4.0,,5,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4.0,NP,3,0,0.00%,False
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4.0,SBAR,2,0,0.00%,False
"Granularity=minimal, Sentence Index=6",2,minimal,6.0,,1,0,0.00%,False
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6.0,SBAR,1,0,0.00%,False
"Granularity=minimal, Sentence Index=7",2,minimal,7.0,,2,0,0.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7.0,NP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7.0,SBAR,1,0,0.00%,False
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,0,0.00%,False
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,0,0.00%,False
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,14,9.07%,True
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,0,16.67%,False
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%,False
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%,False
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,1,5.26%,True
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,1,10.00%,True
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,0,0.00%,False
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,0,0.00%,False
"Sentence Index=0, Syntagm Type=ADJP",2,,0.0,ADJP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=ADVP",2,,0.0,ADVP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=NP",2,,0.0,NP,140,13,9.05%,True
"Sentence Index=0, Syntagm Type=PP",2,,0.0,PP,56,5,8.93%,True
"Sentence Index=0, Syntagm Type=PRT",2,,0.0,PRT,1,0,0.00%,False
"Sentence Index=0, Syntagm Type=QP",2,,0.0,QP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=SBAR",2,,0.0,SBAR,10,1,6.67%,True
"Sentence Index=0, Syntagm Type=VP",2,,0.0,VP,29,3,10.34%,True
"Sentence Index=0, Syntagm Type=WHADVP",2,,0.0,WHADVP,2,0,0.00%,False
"Sentence Index=0, Syntagm Type=WHNP",2,,0.0,WHNP,5,0,0.00%,False
"Sentence Index=1, Syntagm Type=ADJP",2,,1.0,ADJP,1,0,0.00%,False
"Sentence Index=1, Syntagm Type=NP",2,,1.0,NP,19,1,3.51%,True
"Sentence Index=1, Syntagm Type=PP",2,,1.0,PP,5,1,13.33%,False
"Sentence Index=1, Syntagm Type=SBAR",2,,1.0,SBAR,7,1,9.53%,True
"Sentence Index=1, Syntagm Type=VP",2,,1.0,VP,9,0,0.00%,False
"Sentence Index=2, Syntagm Type=ADVP",2,,2.0,ADVP,2,0,0.00%,False
"Sentence Index=2, Syntagm Type=NP",2,,2.0,NP,19,1,7.02%,True
"Sentence Index=2, Syntagm Type=PP",2,,2.0,PP,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=SBAR",2,,2.0,SBAR,4,0,0.00%,False
"Sentence Index=2, Syntagm Type=VP",2,,2.0,VP,13,1,7.69%,True
"Sentence Index=2, Syntagm Type=WHADVP",2,,2.0,WHADVP,1,0,0.00%,False
"Sentence Index=2, Syntagm Type=WHNP",2,,2.0,WHNP,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=NP",2,,3.0,NP,8,1,12.50%,True
"Sentence Index=3, Syntagm Type=SBAR",2,,3.0,SBAR,1,0,0.00%,False
"Sentence Index=3, Syntagm Type=VP",2,,3.0,VP,2,0,16.67%,False
"Sentence Index=4, Syntagm Type=NP",2,,4.0,NP,3,0,0.00%,False
"Sentence Index=4, Syntagm Type=PP",2,,4.0,PP,1,0,0.00%,False
"Sentence Index=4, Syntagm Type=SBAR",2,,4.0,SBAR,2,0,0.00%,False
"Sentence Index=4, Syntagm Type=VP",2,,4.0,VP,1,0,0.00%,False
"Sentence Index=5, Syntagm Type=PP",2,,5.0,PP,1,0,0.00%,False
"Sentence Index=6, Syntagm Type=SBAR",2,,6.0,SBAR,1,0,0.00%,False
"Sentence Index=7, Syntagm Type=NP",2,,7.0,NP,1,0,0.00%,False
"Sentence Index=7, Syntagm Type=SBAR",2,,7.0,SBAR,1,0,0.00%,False
