Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,61,54.46%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,3,150.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,4,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,6,3,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,2,2,100.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,5,3,60.00%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,23,21,91.30%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,1,1,100.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,19,17,89.47%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,3,3,100.00%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,29,29,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,2,1,50.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,18,22,122.22%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,3,3,100.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,4,3,75.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,6,3,50.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,5,2,40.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,1,1,100.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,5,3,60.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,3,2,66.67%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,2,1,50.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,1,1,100.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,1,1,100.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,2,2,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,1,1,100.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,1,100.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,2,66.67%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,1,25.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,105,66.46%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,3,150.00%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,14,73.68%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,6,60.00%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,2,66.67%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,3,50.00%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,2,1,50.00%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,140,69,49.29%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,56,26,46.43%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,1,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,2,0,0.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,10,6,60.00%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,29,15,51.72%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,2,2,100.00%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,5,3,60.00%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,1,1,100.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,19,17,89.47%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,5,1,20.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,7,8,114.29%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,9,9,100.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,2,1,50.00%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,19,26,136.84%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,1,2,200.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,4,3,75.00%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,13,13,100.00%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,1,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,1,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,8,5,62.50%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,1,1,100.00%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,2,2,100.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,3,2,66.67%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,1,1,100.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,2,1,50.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,1,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,1,100.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,1,1,100.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,1,1,100.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,1,100.00%
